"id","filename","ident","name","type","frequency_khz","latitude_deg","longitude_deg","elevation_ft","iso_country","dme_frequency_khz","dme_channel","dme_latitude_deg","dme_longitude_deg","dme_elevation_ft","slaved_variation_deg","magnetic_variation_deg","usageType","power","associated_airport",
35,"Gatineau_NDB_CA","3U","Gatineau","NDB",414,45.5219,-75.5625,211,"CA",,,,,,,-13.591,"LO","LOW","CYND"
36,"Cluff_Lake_NDB_CA","3X","Cluff Lake","NDB",243,58.3603,-109.525,,"CA",,,,,,,15.534,"LO","MEDIUM","CJS3"
37,"Donnelly_NDB-DME_CA","3Y","Donnelly","NDB-DME",234,55.7106,-117.1,1949,"CA",108200,"019X",,,,,19.141,"LO","LOW","CFM4"
38,"Russell_NDB_CA","3Z","Russell","NDB",263,50.7642,-101.296,1825,"CA",,,,,,,7.542,"LO","LOW","CJW5"
39,"Taber_NDB-DME_CA","3Z","Taber","NDB-DME",388,49.8258,-112.178,2648,"CA",111000,"047X",,,,,15.013,"LO","LOW","CED5"
40,"Koala_NDB-DME_CA","4A","Koala","NDB-DME",350,64.6981,-110.609,1540,"CA",111800,"055X",,,,,19.093,"TERMINAL","MEDIUM","CYOA"
41,"Little_Grand_Rapids_NDB_CA","4B","Little Grand Rapids","NDB",280,52.0442,-95.4619,1005,"CA",,,,,,,2.118,"LO","MEDIUM","CZGR"
42,"Helmet_NDB_CA","4D","Helmet","NDB",364,59.4214,-120.789,2025,"CA",,,,,,,22.188,"LO","MEDIUM","CBH2"
43,"Cross_Lake_NDB_CA","4G","Cross Lake","NDB",353,54.6108,-97.7664,709,"CA",,,,,,,4.14,"LO","MEDIUM","CYCR"
44,"Points_North_Landing_NDB_CA","4H","Points North Landing","NDB",368,58.2692,-104.08,1620,"CA",,,,,,,10.553,"LO","MEDIUM","CYNL"
45,"Knee_Lake_NDB_CA","4J","Knee Lake","NDB",314,54.8833,-94.8,,"CA",,,,,,,0.468,"LO","LOW","CJT3"
46,"St_Theresa_Point_NDB_CA","4K","St Theresa Point","NDB",362,53.845,-94.8494,773,"CA",,,,,,,1.074,"LO","LOW","CYST"
47,"Chatham_NDB_CA","4L","Chatham","NDB",236,42.3123,-82.0777,650,"CA",,,,,,,-7.553,"LO","LOW","CNZ3"
48,"Red_Sucker_Lake_NDB_CA","4M","Red Sucker Lake","NDB",399,54.1689,-93.5632,729,"CA",,,,,,,-0.269,"LO","LOW","CYRS"
49,"Oxford_House_NDB_CA","4N","Oxford House","NDB",386,54.9286,-95.2825,688,"CA",,,,,,,1.201,"LO","MEDIUM","CYOH"
50,"Swan_Hills_NDB_CA","4O","Swan Hills","NDB",251,54.675,-115.424,3473,"CA",,,,,,,18.062,"LO","MEDIUM","CEM5"
51,"Brochet_NDB_CA","4Q","Brochet","NDB",347,57.8861,-101.677,1136,"CA",,,,,,,8.181,"LO","MEDIUM","CYBT"
52,"Shamattawa_NDB_CA","4T","Shamattawa","NDB",280,55.8593,-92.086,289,"CA",,,,,,,-2.53,"LO","LOW","CZTM"
53,"Lac_Brochet_NDB_CA","4V","Lac Brochet","NDB",371,58.6183,-101.47,1257,"CA",,,,,,,7.594,"LO","LOW","CZWH"
54,"Kelsey_NDB_CA","4W","Kelsey","NDB",391,56.0375,-96.5128,600,"CA",,,,,,,2.303,"LO","LOW","CZEE"
55,"Lac_Du_Bonnet_NDB_CA","4X","Lac Du Bonnet","NDB",386,50.2903,-96.0142,850,"CA",,,,,,,3.03,"LO","MEDIUM","CYAX"
56,"Key_Lake_NDB_CA","4Y","Key Lake","NDB",376,57.2542,-105.622,1670,"CA",,,,,,,12.181,"LO","MEDIUM","CYKJ"
57,"Summerside_NDB_CA","5B","Summerside","NDB",254,46.3969,-63.8817,,"CA",,,,,,,-19.313,"LO","MEDIUM","CYSU"
58,"Fox_Creek_NDB-DME_CA","5F","Fox Creek","NDB-DME",353,54.3794,-116.76,2841,"CA",110000,"037X",,,,,18.332,"LO","LOW","CED4"
59,"Coronation_NDB_CA","5J","Coronation","NDB",328,52.0744,-111.448,2595,"CA",,,,,,,15.158,"LO","HIGH","CYCT"
60,"Donaldson_NDB_CA","5L","Donaldson","NDB",233,61.6647,-73.2919,1888,"CA",,,,,,,-27.485,"BOTH","MEDIUM","CTP9"
61,"Sparwood_NDB_CA","5M","Sparwood","NDB",400,49.8372,-114.884,3800,"CA",,,,,,,16.131,"LO","MEDIUM","CYSW"
62,"Gods_River_NDB_CA","5O","Gods River","NDB",350,54.8419,-94.0691,676,"CA",,,,,,,-0.043,"LO","LOW","CJT3"
63,"Fontanges_NDB_CA","5Q","Fontanges","NDB",239,54.56,-71.1711,1552,"CA",,,,,,,-21.458,"LO","LOW","CTU2"
64,"Fort_Vermilion_NDB-DME_CA","5U","Fort Vermilion","NDB-DME",261,58.4025,-115.951,836,"CA",108800,"025X",58.4033,-115.946,836,,19.554,"LO","LOW","CEZ4"
65,"Drumheller_NDB-DME_CA","5V","Drumheller","NDB-DME",395,51.5025,-112.751,2625,"CA",110000,"037X",51.5017,-112.751,2625,,15.463,"LO","MEDIUM","CEG4"
66,"Leaf_Rapids_NDB_CA","5W","Leaf Rapids","NDB",226,56.5117,-99.9839,959,"CA",,,,,,,6.283,"LO","MEDIUM","CYLR"
67,"Trenton_NDB_CA","5Y","Trenton","NDB",361,45.6118,-62.6251,317,"CA",,,,,,,-19.265,"LO","LOW","CYTN"
68,"Grand_Manan_NDB_CA","6E","Grand Manan","NDB",387,44.7156,-66.8022,238,"CA",,,,,,,-18.017,"LO","MEDIUM","CCN2"
69,"Port_Hope_Simpson_NDB_CA","6F","Port Hope Simpson","NDB",367,52.5203,-56.2952,347,"CA",,,,,,,-23.08,"LO","LOW","CCP4"
70,"Red_Deer_DME_CA","6G","Red Deer","DME",111600,52.1812,-113.883,2985,"CA",111600,"053X",,,,,16.313,"LO","LOW","CYQF"
71,"Vernon_Bc_NDB_CA","6K","Vernon Bc","NDB",302,50.35,-119.26,,"CA",,,,,,,17.537,"LO","LOW","CYVK"
72,"Belleville_NDB_CA","6M","Belleville","NDB",283,44.195,-77.3083,320,"CA",,,,,,,-12.149,"LO","LOW","CNU4"
73,"Cigar_Lake_NDB_CA","6Q","Cigar Lake","NDB",222,58.0697,-104.539,,"CA",,,,,,,11.223,"LO","MEDIUM","CJW7"
74,"York_Landing_NDB_CA","6X","York Landing","NDB",339,56.0883,-96.0969,609,"CA",,,,,,,1.594,"LO","MEDIUM","CZAC"
75,"La_Loche_NDB_CA","6Z","La Loche","NDB",410,56.4783,-109.401,1500,"CA",,,,,,,15.139,"LO","MEDIUM","CJL4"
76,"St_Thomas_NDB_CA","7B","St Thomas","NDB",375,42.7709,-81.1057,776,"CA",,,,,,,-8.511,"LO","HIGH","CYQS"
77,"Fogo_NDB_CA","7C","Fogo","NDB",237,49.6616,-54.2451,97,"CA",,,,,,,-21.274,"LO","MEDIUM","CDY3"
78,"Hudson_Bay_NDB_CA","7D","Hudson Bay","NDB",337,52.8478,-102.187,,"CA",,,,,,,8.448,"LO","LOW","CYHB"
79,"Collins_Bay_NDB_CA","7F","Collins Bay","NDB",400,58.2283,-103.683,1340,"CA",,,,,,,10.302,"LO","MEDIUM","CYKC"
80,"Marystown_NDB_CA","7H","Marystown","NDB",234,47.1383,-55.325,96,"CA",,,,,,,-20.262,"LO","MEDIUM","CCC2"
81,"Forestburg_NDB_CA","7J","Forestburg","NDB",261,52.5764,-112.086,2352,"CA",,,,,,,15.451,"LO","LOW","CEF6"
